PLAYER_NAME,SEASON,TEAM_ABBREVIATION,GP,MIN,steals_p36,blocks_p36,stocks_p36,DEF_RATING,DREB_PCT,DEF_RANK,team_def_quality,availability_score,defense_impact,elite_defender_context,DPOY_VOTE_SHARE
Karl-Anthony Towns,2017-18,MIN,82,35.6,0.8089887640449438,1.4157303370786516,2.224719101123595,109.2,0.272,25.0,0.2,0.9888888888888889,0.44494382022471907,0,0.0
Tari Eason,2022-23,HOU,82,21.6,2.0,1.0,3.0,113.4,0.172,29.0,0.06666666666666667,0.6000000000000001,0.2,0,0.0
Deni Avdija,2021-22,WAS,82,24.2,1.0413223140495866,0.743801652892562,1.7851239669421486,110.1,0.182,23.0,0.26666666666666666,0.6722222222222222,0.4760330578512396,0,0.0
Dwight Powell,2021-22,DAL,82,21.9,0.8219178082191781,0.8219178082191781,1.6438356164383563,110.6,0.134,7.0,0.8,0.6083333333333333,1.315068493150685,0,0.0
Kentavious Caldwell-Pope,2014-15,DET,82,31.5,1.2571428571428571,0.22857142857142856,1.4857142857142858,104.8,0.082,20.0,0.36666666666666664,0.875,0.5447619047619048,0,0.0
Tobias Harris,2018-19,PHI,82,34.7,0.6224783861671469,0.5187319884726225,1.1412103746397695,110.5,0.188,14.0,0.5666666666666667,0.963888888888889,0.646685878962536,0,0.0
Ben McLemore,2014-15,SAC,82,32.6,0.9938650306748467,0.22085889570552147,1.2147239263803682,105.4,0.076,27.0,0.13333333333333333,0.9055555555555556,0.1619631901840491,0,0.0
Jonas Valančiūnas,2023-24,NOP,82,23.5,0.6127659574468085,1.225531914893617,1.8382978723404255,113.4,0.272,6.0,0.8333333333333334,0.6527777777777778,1.5319148936170213,0,0.0
Bryn Forbes,2018-19,SAS,82,28.0,0.6428571428571428,0.0,0.6428571428571428,110.2,0.096,20.0,0.36666666666666664,0.7777777777777778,0.23571428571428568,0,0.0
Gorgui Dieng,2015-16,MIN,82,27.1,1.4612546125461254,1.5940959409594095,3.055350553505535,106.5,0.196,28.0,0.1,0.7527777777777778,0.30553505535055353,0,0.0
Mikal Bridges,2021-22,PHX,82,34.8,1.2413793103448276,0.4137931034482759,1.6551724137931036,106.9,0.089,3.0,0.9333333333333333,0.9666666666666666,1.5448275862068968,0,0.404
Bradley Beal,2018-19,WAS,82,36.9,1.4634146341463414,0.6829268292682926,2.1463414634146343,113.5,0.104,26.0,0.16666666666666666,1.025,0.35772357723577236,0,0.0
Karl-Anthony Towns,2016-17,MIN,82,37.0,0.681081081081081,1.2648648648648648,1.9459459459459458,112.1,0.247,27.0,0.13333333333333333,1.0277777777777777,0.2594594594594594,0,0.0
