PLAYER_NAME,SEASON,TEAM_ABBREVIATION,GP,MIN,steals_p36,blocks_p36,stocks_p36,DEF_RATING,DREB_PCT,DEF_RANK,team_def_quality,availability_score,defense_impact,elite_defender_context
Jaylen Brown,2025-26,BOS,21,33.4,1.18562874251497,0.4311377245508982,1.6167664670658684,117.2,0.142,4,0.9,0.23760162601626014,1.4550898203592815,0
Isaiah Jackson,2025-26,IND,21,19.2,1.5000000000000002,1.5000000000000002,3.0000000000000004,118.2,0.166,18,0.43333333333333335,0.13658536585365855,1.3000000000000003,0
Franz Wagner,2025-26,ORL,21,34.5,1.147826086956522,0.4173913043478261,1.5652173913043481,111.8,0.133,2,0.9666666666666667,0.2454268292682927,1.51304347826087,0
Ivica Zubac,2025-26,LAC,21,32.4,0.5555555555555556,1.1111111111111112,1.6666666666666667,118.3,0.246,12,0.6333333333333333,0.23048780487804876,1.0555555555555556,0
Desmond Bane,2025-26,ORL,21,32.8,0.878048780487805,0.3292682926829269,1.207317073170732,111.6,0.097,2,0.9666666666666667,0.2333333333333333,1.1670731707317075,0
Deni Avdija,2025-26,POR,21,34.2,0.5263157894736842,0.7368421052631577,1.263157894736842,115.9,0.171,23,0.26666666666666666,0.2432926829268293,0.3368421052631579,0
Davion Mitchell,2025-26,MIA,21,30.2,1.6688741721854305,0.0,1.6688741721854305,111.5,0.069,6,0.8333333333333334,0.21483739837398375,1.3907284768211923,0
DeMar DeRozan,2025-26,SAC,21,33.1,1.4138972809667674,0.2175226586102719,1.6314199395770392,120.8,0.077,17,0.4666666666666667,0.23546747967479678,0.7613293051359517,0
Cason Wallace,2025-26,OKC,21,28.5,2.778947368421053,0.37894736842105264,3.1578947368421053,102.4,0.073,1,1.0,0.20274390243902438,3.1578947368421053,1
Ben Sheppard,2025-26,IND,21,25.3,0.8537549407114624,0.14229249011857706,0.9960474308300394,113.4,0.119,18,0.43333333333333335,0.17997967479674798,0.43162055335968375,0
Anfernee Simons,2025-26,BOS,21,24.0,0.6,0.3,0.8999999999999999,116.6,0.076,4,0.9,0.17073170731707316,0.8099999999999999,0
Anthony Black,2025-26,ORL,21,27.7,1.819494584837545,0.9097472924187725,2.7292418772563174,113.5,0.094,2,0.9666666666666667,0.19705284552845528,2.63826714801444,1
Sam Hauser,2025-26,BOS,21,22.2,0.972972972972973,0.32432432432432434,1.2972972972972974,115.2,0.119,4,0.9,0.15792682926829268,1.1675675675675676,0
Sion James,2025-26,CHA,21,26.5,0.950943396226415,0.5433962264150943,1.4943396226415093,115.1,0.103,30,0.03333333333333333,0.18851626016260165,0.049811320754716976,0
Tristan da Silva,2025-26,ORL,21,23.5,1.225531914893617,0.4595744680851064,1.6851063829787234,108.6,0.113,2,0.9666666666666667,0.16717479674796748,1.628936170212766,0
Toumani Camara,2025-26,POR,21,34.1,1.0557184750733137,0.6334310850439882,1.6891495601173019,115.9,0.092,23,0.26666666666666666,0.24258130081300816,0.45043988269794716,0
Klay Thompson,2025-26,DAL,21,21.8,0.4954128440366972,0.4954128440366972,0.9908256880733944,103.6,0.088,16,0.5,0.15508130081300814,0.4954128440366972,0
Kon Knueppel,2025-26,CHA,21,33.5,0.8597014925373134,0.21492537313432836,1.0746268656716418,116.5,0.142,30,0.03333333333333333,0.2383130081300813,0.03582089552238806,0
Kris Dunn,2025-26,LAC,21,26.4,2.181818181818182,0.27272727272727276,2.454545454545455,119.9,0.072,12,0.6333333333333333,0.1878048780487805,1.5545454545454547,0
Russell Westbrook,2025-26,SAC,21,28.2,1.5319148936170213,0.12765957446808512,1.6595744680851063,121.3,0.198,17,0.4666666666666667,0.200609756097561,0.774468085106383,0
Pelle Larsson,2025-26,MIA,21,22.5,0.96,0.32,1.28,114.1,0.087,6,0.8333333333333334,0.1600609756097561,1.0666666666666667,0
Mike Conley,2025-26,MIN,21,19.5,1.1076923076923075,0.18461538461538463,1.2923076923076922,116.0,0.077,11,0.6666666666666666,0.13871951219512194,0.8615384615384614,0
Kyle Kuzma,2025-26,MIL,21,25.9,1.250965250965251,0.5559845559845561,1.806949806949807,113.8,0.14,8,0.7666666666666667,0.1842479674796748,1.3853281853281854,0
Moussa Diabaté,2025-26,CHA,21,22.9,1.1004366812227073,1.7292576419213976,2.829694323144105,116.6,0.189,30,0.03333333333333333,0.16290650406504065,0.09432314410480351,0
Naz Reid,2025-26,MIN,21,25.2,1.4285714285714284,1.2857142857142858,2.7142857142857144,116.3,0.182,11,0.6666666666666666,0.17926829268292682,1.8095238095238095,0
James Harden,2025-26,LAC,20,35.1,1.0256410256410255,0.4102564102564103,1.435897435897436,122.7,0.144,12,0.6333333333333333,0.2378048780487805,0.9094017094017094,0
Jaden McDaniels,2025-26,MIN,20,31.8,1.3584905660377358,1.1320754716981132,2.490566037735849,111.5,0.103,11,0.6666666666666666,0.2154471544715447,1.660377358490566,0
Jalen Johnson,2025-26,ATL,20,34.9,1.6504297994269344,0.4126074498567336,2.063037249283668,112.1,0.231,22,0.3,0.23644986449864497,0.6189111747851004,0
Cam Whitmore,2025-26,WAS,20,16.8,1.5,0.6428571428571428,2.142857142857143,122.8,0.107,29,0.06666666666666667,0.11382113821138211,0.14285714285714285,0
CJ McCollum,2025-26,WAS,20,29.7,0.9696969696969697,0.3636363636363636,1.3333333333333333,122.0,0.084,29,0.06666666666666667,0.20121951219512194,0.08888888888888888,0
Dean Wade,2025-26,CLE,20,22.3,1.2914798206278026,0.9686098654708519,2.2600896860986546,109.8,0.122,14,0.5666666666666667,0.1510840108401084,1.2807174887892376,0
Bub Carrington,2025-26,WAS,20,25.0,0.72,0.14400000000000002,0.864,125.3,0.12,29,0.06666666666666667,0.16937669376693765,0.0576,0
Brandon Williams,2025-26,DAL,20,21.8,2.4770642201834865,0.4954128440366972,2.972477064220184,109.0,0.083,16,0.5,0.14769647696476967,1.486238532110092,0
Ace Bailey,2025-26,UTA,20,22.1,1.4660633484162897,0.4886877828054298,1.9547511312217196,120.7,0.082,28,0.1,0.1497289972899729,0.19547511312217197,0
Bruce Brown,2025-26,DEN,20,23.1,1.2467532467532467,0.3116883116883117,1.5584415584415585,115.2,0.113,9,0.7333333333333333,0.15650406504065043,1.1428571428571428,0
Jaime Jaquez Jr.,2025-26,MIA,20,29.3,0.7372013651877133,0.36860068259385664,1.10580204778157,104.8,0.128,6,0.8333333333333334,0.19850948509485095,0.9215017064846417,0
Harrison Barnes,2025-26,SAS,20,30.9,1.2815533980582527,0.23300970873786409,1.5145631067961167,114.4,0.076,24,0.23333333333333334,0.20934959349593493,0.35339805825242726,0
Goga Bitadze,2025-26,ORL,20,16.8,1.5,2.7857142857142856,4.285714285714286,109.8,0.197,2,0.9666666666666667,0.11382113821138211,4.142857142857142,1
Duncan Robinson,2025-26,DET,20,32.0,1.125,0.45,1.575,109.6,0.071,27,0.13333333333333333,0.2168021680216802,0.21,0
Collin Sexton,2025-26,CHA,20,26.1,1.103448275862069,0.27586206896551724,1.3793103448275863,113.5,0.069,30,0.03333333333333333,0.17682926829268295,0.04597701149425287,0
Derrick White,2025-26,BOS,20,33.4,1.8323353293413174,1.4011976047904193,3.2335329341317367,112.4,0.086,4,0.9,0.2262872628726287,2.910179640718563,1
Devin Vassell,2025-26,SAS,20,32.9,1.2036474164133741,0.4376899696048633,1.6413373860182374,111.7,0.095,24,0.23333333333333334,0.22289972899728996,0.38297872340425543,0
