PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,STL,BLK,DEF_RATING,DREB_PCT,SEASON
1641796,Pelle Larsson,MIA,21,22.5,0.6,0.2,114.1,0.087,2025-26
1631212,Peyton Watson,DEN,20,26.6,1.0,1.1,118.4,0.125,2025-26
1642366,Quinten Post,GSW,22,16.1,0.6,0.5,101.9,0.16,2025-26
1641842,Ronald Holland II,DET,21,21.4,1.8,0.3,107.4,0.113,2025-26
1626220,Royce O'Neale,PHX,22,30.2,1.2,0.2,114.9,0.152,2025-26
203497,Rudy Gobert,MIN,21,32.1,0.4,1.6,107.1,0.192,2025-26
201566,Russell Westbrook,SAC,21,28.2,1.2,0.1,121.3,0.198,2025-26
1631157,Ryan Rollins,MIL,22,32.4,1.6,0.4,114.9,0.098,2025-26
1630180,Saddiq Bey,NOP,21,28.6,1.0,0.1,120.5,0.15,2025-26
1630573,Sam Hauser,BOS,21,22.2,0.6,0.2,115.2,0.119,2025-26
1630572,Sandro Mamukelashvili,TOR,21,18.9,0.5,0.5,103.5,0.138,2025-26
1630583,Santi Aldama,MEM,22,26.0,0.9,0.8,119.4,0.189,2025-26
1630567,Scottie Barnes,TOR,22,33.6,1.4,1.6,110.8,0.165,2025-26
1628983,Shai Gilgeous-Alexander,OKC,22,33.6,1.5,0.7,105.0,0.115,2025-26
1631323,Simone Fontecchio,MIA,20,18.9,0.5,0.2,107.6,0.099,2025-26
1642883,Sion James,CHA,21,26.5,0.7,0.4,115.1,0.103,2025-26
1629004,Svi Mykhailiuk,UTA,20,26.1,0.5,0.2,114.8,0.072,2025-26
203501,Tim Hardaway Jr.,DEN,20,24.5,0.5,0.1,113.2,0.062,2025-26
1641739,Toumani Camara,POR,21,34.1,1.0,0.6,115.9,0.092,2025-26
1630530,Trey Murphy III,NOP,20,35.8,1.7,0.2,118.9,0.155,2025-26
1641783,Tristan da Silva,ORL,21,23.5,0.8,0.3,108.6,0.113,2025-26
1631213,Tyrese Martin,BKN,20,21.2,0.7,0.2,118.2,0.109,2025-26
1630178,Tyrese Maxey,PHI,20,40.1,1.6,0.9,114.4,0.106,2025-26
1628976,Wendell Carter Jr.,ORL,20,29.6,0.7,0.8,107.5,0.15,2025-26
1642954,Will Richard,GSW,20,18.7,1.0,0.1,114.3,0.09,2025-26
